"Rigol Technologies,Inc. -[Data]",,
,,
,,
,,
CH1 500mV  5.000us 50.00MSa  Size=600  [Date:9/15/2015],,
,,
,,
NO.,Time,Voltage
,,
1.0,-3e-05,0.72
2.0,-2.99e-05,0.88
3.0,-2.98e-05,0.9
4.0,-2.97e-05,1.08
5.0,-2.96e-05,1.1
6.0,-2.95e-05,1.28
7.0,-2.94e-05,1.32
8.0,-2.93e-05,1.5
9.0,-2.92e-05,1.5
10.0,-2.91e-05,1.7
11.0,-2.9e-05,1.7
12.0,-2.89e-05,1.88
13.0,-2.88e-05,1.88
14.0,-2.87e-05,2.04
15.0,-2.86e-05,2.04
16.0,-2.85e-05,2.2
17.0,-2.84e-05,2.22
18.0,-2.83e-05,2.36
19.0,-2.82e-05,2.36
20.0,-2.81e-05,2.48
21.0,-2.8e-05,2.5
22.0,-2.79e-05,2.58
23.0,-2.78e-05,2.6
24.0,-2.77e-05,2.68
25.0,-2.76e-05,2.7
26.0,-2.75e-05,2.76
27.0,-2.74e-05,2.76
28.0,-2.73e-05,2.8
29.0,-2.72e-05,2.8
30.0,-2.71e-05,2.82
31.0,-2.7e-05,2.82
32.0,-2.69e-05,2.82
33.0,-2.68e-05,2.82
34.0,-2.67e-05,2.78
35.0,-2.66e-05,2.78
36.0,-2.65e-05,2.7
37.0,-2.64e-05,2.7
38.0,-2.63e-05,2.62
39.0,-2.62e-05,2.6
40.0,-2.61e-05,2.5
41.0,-2.6e-05,2.48
42.0,-2.59e-05,2.34
43.0,-2.58e-05,2.32
44.0,-2.57e-05,2.18
45.0,-2.56e-05,2.16
46.0,-2.55e-05,1.98
47.0,-2.54e-05,1.96
48.0,-2.53e-05,1.76
49.0,-2.52e-05,1.74
50.0,-2.51e-05,1.54
51.0,-2.5e-05,1.52
52.0,-2.49e-05,1.28
53.0,-2.48e-05,1.24
54.0,-2.47e-05,0.98
55.0,-2.46e-05,0.94
56.0,-2.45e-05,0.7
57.0,-2.44e-05,0.66
58.0,-2.43e-05,0.38
59.0,-2.42e-05,0.34
60.0,-2.41e-05,0.08
61.0,-2.4e-05,0.08
62.0,-2.39e-05,-0.14
63.0,-2.38e-05,-0.14
64.0,-2.37e-05,-0.26
65.0,-2.36e-05,-0.26
66.0,-2.35e-05,-0.34
67.0,-2.34e-05,-0.34
68.0,-2.33e-05,-0.4
69.0,-2.32e-05,-0.4
70.0,-2.31e-05,-0.44
71.0,-2.3e-05,-0.44
72.0,-2.29e-05,-0.46
73.0,-2.28e-05,-0.46
74.0,-2.27e-05,-0.48
75.0,-2.26e-05,-0.48
76.0,-2.25e-05,-0.5
77.0,-2.24e-05,-0.5
78.0,-2.23e-05,-0.5
79.0,-2.22e-05,-0.5
80.0,-2.21e-05,-0.52
81.0,-2.2e-05,-0.5
