"Rigol Technologies,Inc. -[Data]"
CH1 500mV  5.000us 50.00MSa  Size=600  [Date:9/15/2015]
NO.,Time,Voltage
1.0,-0.00003,0.640000
2.0,-0.00003,0.820000
3.0,-0.00003,0.820000
4.0,-0.00003,0.980000
5.0,-0.00003,1.000000
6.0,-0.000029,1.160000
7.0,-0.000029,1.180000
8.0,-0.000029,1.340000
9.0,-0.000029,1.380000
10.0,-0.000029,1.540000
11.0,-0.000029,1.560000
12.0,-0.000029,1.700000
13.0,-0.000029,1.720000
14.0,-0.000029,1.880000
15.0,-0.000029,1.880000
16.0,-0.000029,2.020000
17.0,-0.000028,2.020000
18.0,-0.000028,2.160000
19.0,-0.000028,2.180000
20.0,-0.000028,2.280000
21.0,-0.000028,2.280000
22.0,-0.000028,2.380000
23.0,-0.000028,2.400000
24.0,-0.000028,2.500000
25.0,-0.000028,2.500000
26.0,-0.000028,2.580000
27.0,-0.000027,2.580000
28.0,-0.000027,2.640000
29.0,-0.000027,2.640000
30.0,-0.000027,2.660000
31.0,-0.000027,2.660000
32.0,-0.000027,2.660000
33.0,-0.000027,2.660000
34.0,-0.000027,2.640000
35.0,-0.000027,2.640000
36.0,-0.000027,2.600000
37.0,-0.000026,2.600000
38.0,-0.000026,2.520000
39.0,-0.000026,2.520000
40.0,-0.000026,2.420000
41.0,-0.000026,2.420000
42.0,-0.000026,2.320000
43.0,-0.000026,2.300000
44.0,-0.000026,2.160000
45.0,-0.000026,2.160000
46.0,-0.000025,2.000000
47.0,-0.000025,2.000000
48.0,-0.000025,1.840000
49.0,-0.000025,1.820000
50.0,-0.000025,1.640000
51.0,-0.000025,1.600000
52.0,-0.000025,1.400000
53.0,-0.000025,1.380000
54.0,-0.000025,1.140000
55.0,-0.000025,1.100000
56.0,-0.000024,0.860000
57.0,-0.000024,0.860000
58.0,-0.000024,0.600000
59.0,-0.000024,0.580000
60.0,-0.000024,0.300000
61.0,-0.000024,0.280000
62.0,-0.000024,0.020000
63.0,-0.000024,0.020000
64.0,-0.000024,-0.140000
65.0,-0.000024,-0.180000
66.0,-0.000023,-0.300000
67.0,-0.000023,-0.280000
68.0,-0.000023,-0.340000
69.0,-0.000023,-0.360000
70.0,-0.000023,-0.400000
71.0,-0.000023,-0.400000
72.0,-0.000023,-0.440000
73.0,-0.000023,-0.460000
74.0,-0.000023,-0.440000
75.0,-0.000023,-0.460000
76.0,-0.000023,-0.480000
77.0,-0.000022,-0.480000
78.0,-0.000022,-0.500000
79.0,-0.000022,-0.500000
80.0,-0.000022,-0.480000
81.0,-0.000022,-0.480000
82.0,-0.000022,-0.520000
83.0,-0.000022,-0.500000
84.0,-0.000022,-0.520000
85.0,-0.000022,-0.500000
86.0,-0.000022,-0.520000
87.0,-0.000021,-0.500000
88.0,-0.000021,-0.520000
89.0,-0.000021,-0.520000
90.0,-0.000021,-0.500000
91.0,-0.000021,-0.520000
92.0,-0.000021,-0.500000
93.0,-0.000021,-0.520000
94.0,-0.000021,-0.500000
95.0,-0.000021,-0.540000
96.0,-0.000021,-0.500000
97.0,-0.00002,-0.520000
98.0,-0.00002,-0.540000
99.0,-0.00002,-0.540000
100.0,-0.00002,-0.500000
101.0,-0.00002,-0.500000
102.0,-0.00002,-0.540000
103.0,-0.00002,-0.540000
104.0,-0.00002,-0.520000
105.0,-0.00002,-0.540000
106.0,-0.000019,-0.520000
107.0,-0.000019,-0.520000
108.0,-0.000019,-0.540000
109.0,-0.000019,-0.540000
110.0,-0.000019,-0.520000
111.0,-0.000019,-0.520000
112.0,-0.000019,-0.540000
113.0,-0.000019,-0.540000
114.0,-0.000019,-0.520000
115.0,-0.000019,-0.520000
116.0,-0.000018,-0.560000
117.0,-0.000018,-0.540000
118.0,-0.000018,-0.520000
119.0,-0.000018,-0.540000
120.0,-0.000018,-0.520000
121.0,-0.000018,-0.540000
122.0,-0.000018,-0.520000
123.0,-0.000018,-0.540000
124.0,-0.000018,-0.520000
125.0,-0.000018,-0.520000
126.0,-0.000017,-0.540000
127.0,-0.000017,-0.540000
128.0,-0.000017,-0.540000
129.0,-0.000017,-0.540000
130.0,-0.000017,-0.520000
131.0,-0.000017,-0.520000
132.0,-0.000017,-0.540000
133.0,-0.000017,-0.540000
134.0,-0.000017,-0.520000
135.0,-0.000017,-0.540000
136.0,-0.000017,-0.500000
137.0,-0.000016,-0.540000
138.0,-0.000016,-0.520000
139.0,-0.000016,-0.520000
140.0,-0.000016,-0.540000
141.0,-0.000016,-0.520000
142.0,-0.000016,-0.540000
143.0,-0.000016,-0.540000
144.0,-0.000016,-0.520000
145.0,-0.000016,-0.520000
146.0,-0.000016,-0.500000
147.0,-0.000015,-0.520000
148.0,-0.000015,-0.500000
149.0,-0.000015,-0.500000
150.0,-0.000015,-0.540000
151.0,-0.000015,-0.500000
152.0,-0.000015,-0.520000
153.0,-0.000015,-0.520000
154.0,-0.000015,-0.500000
155.0,-0.000015,-0.520000
156.0,-0.000015,-0.520000
157.0,-0.000014,-0.520000
158.0,-0.000014,-0.500000
159.0,-0.000014,-0.520000
160.0,-0.000014,-0.500000
161.0,-0.000014,-0.520000
162.0,-0.000014,-0.500000
163.0,-0.000014,-0.520000
164.0,-0.000014,-0.500000
165.0,-0.000014,-0.500000
166.0,-0.000013,-0.520000
167.0,-0.000013,-0.500000
168.0,-0.000013,-0.520000
169.0,-0.000013,-0.500000
170.0,-0.000013,-0.500000
171.0,-0.000013,-0.500000
172.0,-0.000013,-0.480000
173.0,-0.000013,-0.500000
174.0,-0.000013,-0.480000
175.0,-0.000013,-0.500000
176.0,-0.000013,-0.480000
177.0,-0.000012,-0.500000
178.0,-0.000012,-0.480000
179.0,-0.000012,-0.480000
180.0,-0.000012,-0.500000
181.0,-0.000012,-0.480000
182.0,-0.000012,-0.460000
183.0,-0.000012,-0.480000
184.0,-0.000012,-0.480000
185.0,-0.000012,-0.480000
186.0,-0.000012,-0.480000
187.0,-0.000011,-0.480000
188.0,-0.000011,-0.460000
189.0,-0.000011,-0.460000
190.0,-0.000011,-0.480000
