"Rigol Technologies,Inc. -[Data]"
CH1 500mV  5.000us 50.00MSa  Size=600  [Date:9/15/2015]
NO.,Time,Voltage
1.0,-0.00003,1.180000
2.0,-0.00003,1.500000
3.0,-0.00003,1.540000
4.0,-0.00003,1.840000
5.0,-0.00003,1.860000
6.0,-0.000029,2.160000
7.0,-0.000029,2.180000
8.0,-0.000029,2.480000
9.0,-0.000029,2.500000
10.0,-0.000029,2.760000
11.0,-0.000029,2.820000
12.0,-0.000029,3.060000
13.0,-0.000029,3.080000
14.0,-0.000029,3.080000
15.0,-0.000029,3.080000
16.0,-0.000029,3.080000
17.0,-0.000028,3.080000
18.0,-0.000028,3.080000
19.0,-0.000028,3.080000
20.0,-0.000028,3.080000
21.0,-0.000028,3.080000
22.0,-0.000028,3.080000
23.0,-0.000028,3.080000
24.0,-0.000028,3.080000
25.0,-0.000028,3.080000
26.0,-0.000028,3.080000
27.0,-0.000027,3.080000
28.0,-0.000027,3.080000
29.0,-0.000027,3.080000
30.0,-0.000027,3.080000
31.0,-0.000027,3.080000
32.0,-0.000027,3.080000
33.0,-0.000027,3.080000
34.0,-0.000027,3.080000
35.0,-0.000027,3.080000
36.0,-0.000027,3.080000
37.0,-0.000026,3.080000
38.0,-0.000026,3.080000
39.0,-0.000026,3.080000
40.0,-0.000026,2.800000
41.0,-0.000026,2.780000
42.0,-0.000026,2.440000
43.0,-0.000026,2.400000
44.0,-0.000026,2.040000
45.0,-0.000026,2.000000
46.0,-0.000025,1.600000
47.0,-0.000025,1.560000
48.0,-0.000025,1.180000
49.0,-0.000025,1.120000
50.0,-0.000025,0.720000
51.0,-0.000025,0.660000
52.0,-0.000025,0.240000
53.0,-0.000025,0.220000
54.0,-0.000025,-0.080000
55.0,-0.000025,-0.080000
56.0,-0.000024,-0.280000
57.0,-0.000024,-0.300000
58.0,-0.000024,-0.400000
59.0,-0.000024,-0.400000
60.0,-0.000024,-0.480000
61.0,-0.000024,-0.480000
62.0,-0.000024,-0.540000
63.0,-0.000024,-0.520000
64.0,-0.000024,-0.600000
65.0,-0.000024,-0.560000
66.0,-0.000023,-0.620000
67.0,-0.000023,-0.600000
68.0,-0.000023,-0.620000
69.0,-0.000023,-0.620000
70.0,-0.000023,-0.640000
71.0,-0.000023,-0.620000
72.0,-0.000023,-0.640000
73.0,-0.000023,-0.640000
74.0,-0.000023,-0.620000
75.0,-0.000023,-0.620000
76.0,-0.000023,-0.640000
77.0,-0.000022,-0.640000
78.0,-0.000022,-0.640000
79.0,-0.000022,-0.640000
80.0,-0.000022,-0.660000
81.0,-0.000022,-0.660000
82.0,-0.000022,-0.640000
83.0,-0.000022,-0.640000
84.0,-0.000022,-0.660000
