"Rigol Technologies,Inc. -[Data]",,
,,
,,
,,
CH1 500mV  5.000us 50.00MSa  Size=600  [Date:9/15/2015],,
,,
,,
NO.,Time,Voltage
,,
1.0,-3e-05,0.98
2.0,-2.99e-05,1.24
3.0,-2.98e-05,1.26
4.0,-2.97e-05,1.5
5.0,-2.96e-05,1.54
6.0,-2.95e-05,1.76
7.0,-2.94e-05,1.8
8.0,-2.93e-05,2.02
9.0,-2.92e-05,2.04
10.0,-2.91e-05,2.26
11.0,-2.9e-05,2.28
12.0,-2.89e-05,2.52
13.0,-2.88e-05,2.54
14.0,-2.87e-05,2.72
15.0,-2.86e-05,2.76
16.0,-2.85e-05,2.92
17.0,-2.84e-05,2.94
18.0,-2.83e-05,3.08
19.0,-2.82e-05,3.08
20.0,-2.81e-05,3.08
21.0,-2.8e-05,3.08
22.0,-2.79e-05,3.08
23.0,-2.78e-05,3.08
24.0,-2.77e-05,3.08
25.0,-2.76e-05,3.08
26.0,-2.75e-05,3.08
27.0,-2.74e-05,3.08
28.0,-2.73e-05,3.08
29.0,-2.72e-05,3.08
30.0,-2.71e-05,3.08
31.0,-2.7e-05,3.08
32.0,-2.69e-05,3.08
33.0,-2.68e-05,3.08
34.0,-2.67e-05,3.08
35.0,-2.66e-05,3.08
36.0,-2.65e-05,2.94
37.0,-2.64e-05,2.92
38.0,-2.63e-05,2.74
39.0,-2.62e-05,2.7
40.0,-2.61e-05,2.48
41.0,-2.6e-05,2.46
42.0,-2.59e-05,2.2
43.0,-2.58e-05,2.16
44.0,-2.57e-05,1.9
45.0,-2.56e-05,1.86
46.0,-2.55e-05,1.54
47.0,-2.54e-05,1.5
48.0,-2.53e-05,1.22
49.0,-2.52e-05,1.18
50.0,-2.51e-05,0.84
51.0,-2.5e-05,0.82
52.0,-2.49e-05,0.46
53.0,-2.48e-05,0.4
54.0,-2.47e-05,0.12
55.0,-2.46e-05,0.08
56.0,-2.45e-05,-0.14
57.0,-2.44e-05,-0.14
58.0,-2.43e-05,-0.3
59.0,-2.42e-05,-0.3
60.0,-2.41e-05,-0.38
61.0,-2.4e-05,-0.38
62.0,-2.39e-05,-0.44
63.0,-2.38e-05,-0.44
64.0,-2.37e-05,-0.48
65.0,-2.36e-05,-0.48
66.0,-2.35e-05,-0.5
67.0,-2.34e-05,-0.48
68.0,-2.33e-05,-0.52
69.0,-2.32e-05,-0.5
70.0,-2.31e-05,-0.54
71.0,-2.3e-05,-0.52
72.0,-2.29e-05,-0.54
73.0,-2.28e-05,-0.52
74.0,-2.27e-05,-0.56
75.0,-2.26e-05,-0.54
76.0,-2.25e-05,-0.56
77.0,-2.24e-05,-0.54
78.0,-2.23e-05,-0.56
79.0,-2.22e-05,-0.56
80.0,-2.21e-05,-0.54
81.0,-2.2e-05,-0.56
82.0,-2.19e-05,-0.54
83.0,-2.18e-05,-0.56
84.0,-2.17e-05,-0.54
85.0,-2.16e-05,-0.56
86.0,-2.15e-05,-0.58
87.0,-2.14e-05,-0.54
88.0,-2.13e-05,-0.58
89.0,-2.12e-05,-0.56
90.0,-2.11e-05,-0.58
91.0,-2.1e-05,-0.56
92.0,-2.09e-05,-0.56
93.0,-2.08e-05,-0.56
94.0,-2.07e-05,-0.58
95.0,-2.06e-05,-0.56
96.0,-2.05e-05,-0.58
97.0,-2.04e-05,-0.56
98.0,-2.03e-05,-0.58
99.0,-2.02e-05,-0.56
100.0,-2.01e-05,-0.58
101.0,-2e-05,-0.56
102.0,-1.99e-05,-0.58
103.0,-1.98e-05,-0.56
104.0,-1.97e-05,-0.58
105.0,-1.96e-05,-0.56
106.0,-1.95e-05,-0.58
107.0,-1.94e-05,-0.56
108.0,-1.93e-05,-0.58
109.0,-1.92e-05,-0.56
110.0,-1.91e-05,-0.58
111.0,-1.9e-05,-0.58
112.0,-1.89e-05,-0.56
113.0,-1.88e-05,-0.6
114.0,-1.87e-05,-0.56
115.0,-1.86e-05,-0.56
116.0,-1.85e-05,-0.58
117.0,-1.84e-05,-0.56
118.0,-1.83e-05,-0.58
119.0,-1.82e-05,-0.54
120.0,-1.81e-05,-0.58
121.0,-1.8e-05,-0.56
122.0,-1.79e-05,-0.54
123.0,-1.78e-05,-0.56
124.0,-1.77e-05,-0.54
125.0,-1.76e-05,-0.58
126.0,-1.75e-05,-0.54
127.0,-1.74e-05,-0.56
128.0,-1.73e-05,-0.58
129.0,-1.72e-05,-0.56
130.0,-1.71e-05,-0.54
131.0,-1.7e-05,-0.56
132.0,-1.69e-05,-0.54
133.0,-1.68e-05,-0.56
134.0,-1.67e-05,-0.56
135.0,-1.66e-05,-0.56
136.0,-1.65e-05,-0.56
137.0,-1.64e-05,-0.54
138.0,-1.63e-05,-0.56
139.0,-1.62e-05,-0.54
140.0,-1.61e-05,-0.56
141.0,-1.6e-05,-0.56
142.0,-1.59e-05,-0.54
143.0,-1.58e-05,-0.56
144.0,-1.57e-05,-0.54
145.0,-1.56e-05,-0.54
146.0,-1.55e-05,-0.56
147.0,-1.54e-05,-0.54
148.0,-1.53e-05,-0.56
149.0,-1.52e-05,-0.56
150.0,-1.51e-05,-0.54
151.0,-1.5e-05,-0.54
152.0,-1.49e-05,-0.56
153.0,-1.48e-05,-0.54
154.0,-1.47e-05,-0.56
155.0,-1.46e-05,-0.54
156.0,-1.45e-05,-0.54
157.0,-1.44e-05,-0.54
158.0,-1.43e-05,-0.54
159.0,-1.42e-05,-0.52
160.0,-1.41e-05,-0.54
161.0,-1.4e-05,-0.54
162.0,-1.39e-05,-0.52
163.0,-1.38e-05,-0.52
164.0,-1.37e-05,-0.54
165.0,-1.36e-05,-0.52
166.0,-1.35e-05,-0.54
167.0,-1.34e-05,-0.52
168.0,-1.33e-05,-0.52
169.0,-1.32e-05,-0.52
170.0,-1.31e-05,-0.52
171.0,-1.3e-05,-0.5
172.0,-1.29e-05,-0.52
173.0,-1.28e-05,-0.52
174.0,-1.27e-05,-0.5
175.0,-1.26e-05,-0.52
176.0,-1.25e-05,-0.5
177.0,-1.24e-05,-0.5
178.0,-1.23e-05,-0.52
179.0,-1.22e-05,-0.5
180.0,-1.21e-05,-0.52
181.0,-1.2e-05,-0.5
182.0,-1.19e-05,-0.52
183.0,-1.18e-05,-0.5
184.0,-1.17e-05,-0.48
185.0,-1.16e-05,-0.5
186.0,-1.15e-05,-0.48
187.0,-1.14e-05,-0.5
188.0,-1.13e-05,-0.48
189.0,-1.12e-05,-0.5
190.0,-1.11e-05,-0.48
191.0,-1.1e-05,-0.48
192.0,-1.09e-05,-0.5
193.0,-1.08e-05,-0.48
194.0,-1.07e-05,-0.5
195.0,-1.06e-05,-0.5
196.0,-1.05e-05,-0.48
197.0,-1.04e-05,-0.48
198.0,-1.03e-05,-0.48
199.0,-1.02e-05,-0.5
200.0,-1.01e-05,-0.46
201.0,-1e-05,-0.5
202.0,-9.9e-06,-0.48
203.0,-9.8e-06,-0.48
204.0,-9.7e-06,-0.5
205.0,-9.6e-06,-0.5
206.0,-9.5e-06,-0.48
207.0,-9.4e-06,-0.48
208.0,-9.3e-06,-0.5
209.0,-9.2e-06,-0.48
210.0,-9.1e-06,-0.46
211.0,-9e-06,-0.5
212.0,-8.9e-06,-0.48
213.0,-8.8e-06,-0.48
214.0,-8.7e-06,-0.5
215.0,-8.6e-06,-0.48
216.0,-8.5e-06,-0.5
217.0,-8.4e-06,-0.5
218.0,-8.3e-06,-0.48
219.0,-8.2e-06,-0.48
220.0,-8.1e-06,-0.5
221.0,-8e-06,-0.5
222.0,-7.9e-06,-0.48
223.0,-7.8e-06,-0.5
224.0,-7.7e-06,-0.52
225.0,-7.6e-06,-0.5
226.0,-7.5e-06,-0.52
227.0,-7.4e-06,-0.5
228.0,-7.3e-06,-0.52
229.0,-7.2e-06,-0.5
230.0,-7.1e-06,-0.52
231.0,-7e-06,-0.48
232.0,-6.9e-06,-0.52
233.0,-6.8e-06,-0.52
234.0,-6.7e-06,-0.52
235.0,-6.6e-06,-0.5
236.0,-6.5e-06,-0.52
237.0,-6.4e-06,-0.52
238.0,-6.3e-06,-0.5
239.0,-6.2e-06,-0.5
240.0,-6.1e-06,-0.52
241.0,-6e-06,-0.52
242.0,-5.9e-06,-0.5
243.0,-5.8e-06,-0.52
244.0,-5.7e-06,-0.54
245.0,-5.6e-06,-0.52
246.0,-5.5e-06,-0.54
247.0,-5.4e-06,-0.52
248.0,-5.3e-06,-0.54
249.0,-5.2e-06,-0.54
250.0,-5.1e-06,-0.52
251.0,-5e-06,-0.54
252.0,-4.9e-06,-0.5
253.0,-4.8e-06,-0.52
254.0,-4.7e-06,-0.54
255.0,-4.6e-06,-0.52
256.0,-4.5e-06,-0.54
257.0,-4.4e-06,-0.52
258.0,-4.3e-06,-0.54
259.0,-4.2e-06,-0.5
260.0,-4.1e-06,-0.54
261.0,-4e-06,-0.5
262.0,-3.9e-06,-0.54
263.0,-3.8e-06,-0.54
264.0,-3.7e-06,-0.5
265.0,-3.6e-06,-0.54
266.0,-3.5e-06,-0.5
267.0,-3.4e-06,-0.52
268.0,-3.3e-06,-0.5
269.0,-3.2e-06,-0.52
270.0,-3.1e-06,-0.5
271.0,-3e-06,-0.5
272.0,-2.9e-06,-0.52
273.0,-2.8e-06,-0.52
274.0,-2.7e-06,-0.5
275.0,-2.6e-06,-0.5
276.0,-2.5e-06,-0.52
277.0,-2.4e-06,-0.5
278.0,-2.3e-06,-0.52
279.0,-2.2e-06,-0.5
280.0,-2.1e-06,-0.5
281.0,-2e-06,-0.5
282.0,-1.9e-06,-0.48
