NO.,Time,Voltage
1.0,-0.00003,4.200000
2.0,-0.00003,4.520000
3.0,-0.00003,4.560000
4.0,-0.00003,4.840000
5.0,-0.00003,4.840000
6.0,-0.000029,5.040000
7.0,-0.000029,5.080000
8.0,-0.000029,5.280000
9.0,-0.000029,5.240000
10.0,-0.000029,5.360000
11.0,-0.000029,5.360000
12.0,-0.000029,5.400000
13.0,-0.000029,5.400000
14.0,-0.000029,5.400000
15.0,-0.000029,5.400000
16.0,-0.000029,5.320000
17.0,-0.000028,5.320000
18.0,-0.000028,5.200000
19.0,-0.000028,5.200000
20.0,-0.000028,5.000000
21.0,-0.000028,4.960000
22.0,-0.000028,4.680000
23.0,-0.000028,4.640000
24.0,-0.000028,4.320000
25.0,-0.000028,4.240000
26.0,-0.000028,3.880000
27.0,-0.000027,3.800000
28.0,-0.000027,3.360000
29.0,-0.000027,3.280000
30.0,-0.000027,2.760000
31.0,-0.000027,2.760000
32.0,-0.000027,2.160000
33.0,-0.000027,2.080000
34.0,-0.000027,1.520000
35.0,-0.000027,1.440000
36.0,-0.000027,0.800000
37.0,-0.000026,0.680000
38.0,-0.000026,0.200000
39.0,-0.000026,0.200000
40.0,-0.000026,-0.160000
41.0,-0.000026,-0.160000
42.0,-0.000026,-0.400000
43.0,-0.000026,-0.400000
44.0,-0.000026,-0.480000
45.0,-0.000026,-0.480000
46.0,-0.000025,-0.600000
47.0,-0.000025,-0.600000
48.0,-0.000025,-0.640000
49.0,-0.000025,-0.640000
50.0,-0.000025,-0.720000
51.0,-0.000025,-0.720000
52.0,-0.000025,-0.680000
53.0,-0.000025,-0.720000
54.0,-0.000025,-0.720000
55.0,-0.000025,-0.760000
56.0,-0.000024,-0.720000
57.0,-0.000024,-0.720000
58.0,-0.000024,-0.760000
59.0,-0.000024,-0.760000
60.0,-0.000024,-0.720000
61.0,-0.000024,-0.760000
62.0,-0.000024,-0.720000
63.0,-0.000024,-0.760000
64.0,-0.000024,-0.720000
65.0,-0.000024,-0.760000
66.0,-0.000023,-0.720000
67.0,-0.000023,-0.760000
68.0,-0.000023,-0.720000
69.0,-0.000023,-0.720000
70.0,-0.000023,-0.760000
71.0,-0.000023,-0.760000
72.0,-0.000023,-0.720000
73.0,-0.000023,-0.760000
74.0,-0.000023,-0.720000
75.0,-0.000023,-0.760000
76.0,-0.000023,-0.720000
77.0,-0.000022,-0.760000
78.0,-0.000022,-0.720000
79.0,-0.000022,-0.760000
80.0,-0.000022,-0.720000
81.0,-0.000022,-0.720000
82.0,-0.000022,-0.760000
83.0,-0.000022,-0.760000
84.0,-0.000022,-0.720000
85.0,-0.000022,-0.760000
86.0,-0.000022,-0.720000
87.0,-0.000021,-0.720000
88.0,-0.000021,-0.760000
89.0,-0.000021,-0.760000
90.0,-0.000021,-0.720000
91.0,-0.000021,-0.760000
92.0,-0.000021,-0.720000
93.0,-0.000021,-0.720000
94.0,-0.000021,-0.760000
95.0,-0.000021,-0.760000
96.0,-0.000021,-0.720000
97.0,-0.00002,-0.760000
98.0,-0.00002,-0.720000
99.0,-0.00002,-0.720000
100.0,-0.00002,-0.760000
101.0,-0.00002,-0.720000
102.0,-0.00002,-0.760000
103.0,-0.00002,-0.760000
104.0,-0.00002,-0.720000
105.0,-0.00002,-0.760000
106.0,-0.000019,-0.720000
107.0,-0.000019,-0.720000
108.0,-0.000019,-0.760000
109.0,-0.000019,-0.720000
110.0,-0.000019,-0.760000
111.0,-0.000019,-0.760000
112.0,-0.000019,-0.720000
113.0,-0.000019,-0.760000
114.0,-0.000019,-0.720000
115.0,-0.000019,-0.720000
116.0,-0.000018,-0.760000
117.0,-0.000018,-0.720000
118.0,-0.000018,-0.760000
119.0,-0.000018,-0.720000
120.0,-0.000018,-0.760000
121.0,-0.000018,-0.760000
122.0,-0.000018,-0.720000
123.0,-0.000018,-0.720000
124.0,-0.000018,-0.760000
125.0,-0.000018,-0.720000
126.0,-0.000017,-0.760000
127.0,-0.000017,-0.720000
128.0,-0.000017,-0.760000
129.0,-0.000017,-0.720000
130.0,-0.000017,-0.760000
131.0,-0.000017,-0.720000
132.0,-0.000017,-0.720000
133.0,-0.000017,-0.720000
134.0,-0.000017,-0.720000
135.0,-0.000017,-0.720000
136.0,-0.000017,-0.720000
137.0,-0.000016,-0.720000
138.0,-0.000016,-0.720000
139.0,-0.000016,-0.720000
140.0,-0.000016,-0.720000
141.0,-0.000016,-0.720000
142.0,-0.000016,-0.680000
143.0,-0.000016,-0.720000
144.0,-0.000016,-0.720000
145.0,-0.000016,-0.720000
146.0,-0.000016,-0.720000
147.0,-0.000015,-0.720000
148.0,-0.000015,-0.680000
149.0,-0.000015,-0.680000
150.0,-0.000015,-0.720000
151.0,-0.000015,-0.720000
152.0,-0.000015,-0.680000
153.0,-0.000015,-0.720000
154.0,-0.000015,-0.680000
155.0,-0.000015,-0.680000
156.0,-0.000015,-0.720000
157.0,-0.000014,-0.720000
158.0,-0.000014,-0.680000
159.0,-0.000014,-0.680000
160.0,-0.000014,-0.720000
161.0,-0.000014,-0.720000
162.0,-0.000014,-0.640000
163.0,-0.000014,-0.640000
164.0,-0.000014,-0.720000
165.0,-0.000014,-0.720000
166.0,-0.000013,-0.640000
167.0,-0.000013,-0.640000
168.0,-0.000013,-0.720000
169.0,-0.000013,-0.600000
170.0,-0.000013,-0.720000
171.0,-0.000013,-0.640000
172.0,-0.000013,-0.720000
173.0,-0.000013,-0.640000
174.0,-0.000013,-0.720000
175.0,-0.000013,-0.640000
176.0,-0.000013,-0.720000
177.0,-0.000012,-0.640000
178.0,-0.000012,-0.680000
179.0,-0.000012,-0.640000
180.0,-0.000012,-0.720000
181.0,-0.000012,-0.640000
182.0,-0.000012,-0.680000
183.0,-0.000012,-0.640000
184.0,-0.000012,-0.720000
185.0,-0.000012,-0.640000
186.0,-0.000012,-0.720000
187.0,-0.000011,-0.720000
188.0,-0.000011,-0.640000
189.0,-0.000011,-0.680000
190.0,-0.000011,-0.640000
191.0,-0.000011,-0.640000
192.0,-0.000011,-0.720000
193.0,-0.000011,-0.640000
194.0,-0.000011,-0.720000
195.0,-0.000011,-0.720000
196.0,-0.00001,-0.680000
197.0,-0.00001,-0.680000
198.0,-0.00001,-0.720000
199.0,-0.00001,-0.720000
200.0,-0.00001,-0.680000
201.0,-0.00001,-0.720000
202.0,-0.00001,-0.720000
203.0,-0.00001,-0.720000
204.0,-0.00001,-0.720000
205.0,-0.00001,-0.720000
206.0,-0.00001,-0.680000
207.0,-0.000009,-0.720000
208.0,-0.000009,-0.720000
209.0,-0.000009,-0.720000
210.0,-0.000009,-0.720000
211.0,-0.000009,-0.680000
212.0,-0.000009,-0.720000
213.0,-0.000009,-0.720000
214.0,-0.000009,-0.720000
215.0,-0.000009,-0.720000
216.0,-0.000008,-0.720000
217.0,-0.000008,-0.720000
218.0,-0.000008,-0.760000
219.0,-0.000008,-0.720000
220.0,-0.000008,-0.720000
221.0,-0.000008,-0.720000
222.0,-0.000008,-0.720000
223.0,-0.000008,-0.720000
224.0,-0.000008,-0.720000
225.0,-0.000008,-0.720000
226.0,-0.000008,-0.720000
227.0,-0.000007,-0.720000
228.0,-0.000007,-0.760000
229.0,-0.000007,-0.720000
230.0,-0.000007,-0.760000
231.0,-0.000007,-0.720000
232.0,-0.000007,-0.720000
233.0,-0.000007,-0.720000
234.0,-0.000007,-0.760000
235.0,-0.000007,-0.720000
236.0,-0.000006,-0.720000
237.0,-0.000006,-0.720000
238.0,-0.000006,-0.760000
239.0,-0.000006,-0.760000
240.0,-0.000006,-0.720000
241.0,-0.000006,-0.720000
242.0,-0.000006,-0.760000
243.0,-0.000006,-0.720000
244.0,-0.000006,-0.720000
245.0,-0.000006,-0.720000
246.0,-0.000005,-0.720000
247.0,-0.000005,-0.720000
248.0,-0.000005,-0.760000
249.0,-0.000005,-0.720000
250.0,-0.000005,-0.720000
251.0,-0.000005,-0.720000
252.0,-0.000005,-0.720000
253.0,-0.000005,-0.720000
254.0,-0.000005,-0.720000
255.0,-0.000005,-0.720000
256.0,-0.000005,-0.720000
257.0,-0.000004,-0.720000
258.0,-0.000004,-0.720000
259.0,-0.000004,-0.720000
260.0,-0.000004,-0.720000
261.0,-0.000004,-0.720000
262.0,-0.000004,-0.720000
263.0,-0.000004,-0.720000
264.0,-0.000004,-0.720000
265.0,-0.000004,-0.720000
266.0,-0.000003,-0.720000
267.0,-0.000003,-0.680000
268.0,-0.000003,-0.720000
269.0,-0.000003,-0.720000
270.0,-0.000003,-0.720000
271.0,-0.000003,-0.720000
272.0,-0.000003,-0.680000
273.0,-0.000003,-0.720000
274.0,-0.000003,-0.720000
275.0,-0.000003,-0.720000
276.0,-0.000003,-0.680000
277.0,-0.000002,-0.720000
278.0,-0.000002,-0.640000
279.0,-0.000002,-0.640000
280.0,-0.000002,-0.720000
281.0,-0.000002,-0.640000
282.0,-0.000002,-0.680000
283.0,-0.000002,-0.640000
284.0,-0.000002,-0.680000
285.0,-0.000002,-0.640000
286.0,-0.000002,-0.680000
287.0,-0.000001,-0.640000
288.0,-0.000001,-0.640000
289.0,-0.000001,-0.640000
290.0,-0.000001,-0.600000
291.0,-0.000001,-0.640000
292.0,-0.000001,-0.600000
293.0,-0.000001,-0.640000
294.0,-0.000001,-0.560000
295.0,-0.000001,-0.600000
296.0,-0,-0.480000
297.0,-0,-0.480000
298.0,-0,-0.280000
299.0,-0,-0.240000
300.0,-0,0.000000
301.0,0.000000,0.080000
302.0,0,0.400000
303.0,0,0.400000
304.0,0,0.760000
305.0,0,0.800000
306.0,0,1.200000
307.0,0.000001,1.200000
308.0,0.000001,1.560000
309.0,0.000001,1.680000
310.0,0.000001,2.040000
311.0,0.000001,2.080000
312.0,0.000001,2.400000
313.0,0.000001,2.440000
314.0,0.000001,2.760000
315.0,0.000001,2.800000
316.0,0.000002,3.080000
317.0,0.000002,3.160000
318.0,0.000002,3.440000
319.0,0.000002,3.480000
320.0,0.000002,3.720000
321.0,0.000002,3.720000
322.0,0.000002,3.920000
323.0,0.000002,3.920000
324.0,0.000002,4.080000
325.0,0.000002,4.080000
326.0,0.000003,4.120000
327.0,0.000003,4.120000
328.0,0.000003,4.160000
329.0,0.000003,4.160000
330.0,0.000003,4.080000
331.0,0.000003,4.120000
332.0,0.000003,4.000000
333.0,0.000003,4.000000
334.0,0.000003,3.800000
335.0,0.000003,3.760000
336.0,0.000003,3.560000
337.0,0.000004,3.560000
338.0,0.000004,3.280000
339.0,0.000004,3.240000
340.0,0.000004,2.920000
341.0,0.000004,2.840000
342.0,0.000004,2.480000
343.0,0.000004,2.440000
344.0,0.000004,2.000000
345.0,0.000004,1.960000
346.0,0.000005,1.480000
347.0,0.000005,1.440000
348.0,0.000005,0.840000
349.0,0.000005,0.760000
350.0,0.000005,0.320000
351.0,0.000005,0.240000
352.0,0.000005,-0.080000
353.0,0.000005,-0.120000
354.0,0.000005,-0.280000
355.0,0.000005,-0.320000
356.0,0.000005,-0.440000
357.0,0.000006,-0.480000
358.0,0.000006,-0.560000
359.0,0.000006,-0.560000
360.0,0.000006,-0.640000
361.0,0.000006,-0.640000
362.0,0.000006,-0.680000
363.0,0.000006,-0.720000
364.0,0.000006,-0.640000
365.0,0.000006,-0.680000
366.0,0.000006,-0.720000
367.0,0.000007,-0.720000
368.0,0.000007,-0.720000
369.0,0.000007,-0.720000
370.0,0.000007,-0.760000
371.0,0.000007,-0.760000
372.0,0.000007,-0.720000
373.0,0.000007,-0.720000
374.0,0.000007,-0.760000
375.0,0.000007,-0.760000
376.0,0.000008,-0.720000
377.0,0.000008,-0.720000
378.0,0.000008,-0.760000
379.0,0.000008,-0.720000
380.0,0.000008,-0.760000
381.0,0.000008,-0.720000
382.0,0.000008,-0.760000
383.0,0.000008,-0.760000
384.0,0.000008,-0.720000
385.0,0.000008,-0.720000
386.0,0.000008,-0.760000
387.0,0.000009,-0.720000
388.0,0.000009,-0.760000
389.0,0.000009,-0.720000
390.0,0.000009,-0.760000
391.0,0.000009,-0.760000
392.0,0.000009,-0.720000
393.0,0.000009,-0.760000
394.0,0.000009,-0.720000
395.0,0.000009,-0.720000
396.0,0.00001,-0.760000
397.0,0.00001,-0.720000
398.0,0.00001,-0.760000
399.0,0.00001,-0.760000
400.0,0.00001,-0.720000
401.0,0.00001,-0.720000
402.0,0.00001,-0.760000
403.0,0.00001,-0.720000
404.0,0.00001,-0.760000
405.0,0.00001,-0.720000
406.0,0.00001,-0.760000
407.0,0.000011,-0.720000
408.0,0.000011,-0.760000
409.0,0.000011,-0.760000
410.0,0.000011,-0.720000
411.0,0.000011,-0.720000
412.0,0.000011,-0.720000
413.0,0.000011,-0.720000
414.0,0.000011,-0.760000
415.0,0.000011,-0.720000
416.0,0.000012,-0.760000
417.0,0.000012,-0.720000
418.0,0.000012,-0.760000
419.0,0.000012,-0.720000
420.0,0.000012,-0.720000
421.0,0.000012,-0.760000
422.0,0.000012,-0.720000
423.0,0.000012,-0.720000
424.0,0.000012,-0.720000
425.0,0.000012,-0.720000
