"Rigol Technologies,Inc. -[Data]",,
,,
,,
,,
CH1 500mV  10.00us 25.00MSa  Size=600  [Date:10/14/2015],,
,,
,,
NO.,Time,Voltage
,,
1.0,-6.06e-05,0.48
2.0,-6.04e-05,0.6
3.0,-6.02e-05,0.6
4.0,-6e-05,0.74
5.0,-5.98e-05,0.74
6.0,-5.96e-05,0.84
7.0,-5.94e-05,0.84
8.0,-5.92e-05,0.9
9.0,-5.9e-05,0.92
10.0,-5.88e-05,0.96
11.0,-5.86e-05,0.94
12.0,-5.84e-05,0.96
13.0,-5.82e-05,0.96
14.0,-5.8e-05,0.9
15.0,-5.78e-05,0.88
16.0,-5.76e-05,0.82
17.0,-5.74e-05,0.82
18.0,-5.72e-05,0.7
19.0,-5.7e-05,0.68
20.0,-5.68e-05,0.54
21.0,-5.66e-05,0.52
22.0,-5.64e-05,0.36
23.0,-5.62e-05,0.34
24.0,-5.6e-05,0.14
25.0,-5.58e-05,0.12
26.0,-5.56e-05,-0.04
27.0,-5.54e-05,-0.08
28.0,-5.52e-05,-0.26
29.0,-5.5e-05,-0.26
30.0,-5.48e-05,-0.36
31.0,-5.46e-05,-0.38
32.0,-5.44e-05,-0.42
33.0,-5.42e-05,-0.42
34.0,-5.4e-05,-0.44
35.0,-5.38e-05,-0.42
36.0,-5.36e-05,-0.46
37.0,-5.34e-05,-0.48
38.0,-5.32e-05,-0.44
39.0,-5.3e-05,-0.48
40.0,-5.28e-05,-0.46
41.0,-5.26e-05,-0.48
42.0,-5.24e-05,-0.44
43.0,-5.22e-05,-0.46
44.0,-5.2e-05,-0.48
45.0,-5.18e-05,-0.46
46.0,-5.16e-05,-0.48
47.0,-5.14e-05,-0.46
48.0,-5.12e-05,-0.48
49.0,-5.1e-05,-0.48
50.0,-5.08e-05,-0.44
51.0,-5.06e-05,-0.48
52.0,-5.04e-05,-0.44
53.0,-5.02e-05,-0.44
54.0,-5e-05,-0.48
55.0,-4.98e-05,-0.46
56.0,-4.96e-05,-0.44
57.0,-4.94e-05,-0.44
58.0,-4.92e-05,-0.46
59.0,-4.9e-05,-0.44
60.0,-4.88e-05,-0.44
61.0,-4.86e-05,-0.44
62.0,-4.84e-05,-0.42
63.0,-4.82e-05,-0.42
64.0,-4.8e-05,-0.4
65.0,-4.78e-05,-0.4
66.0,-4.76e-05,-0.36
67.0,-4.74e-05,-0.34
68.0,-4.72e-05,-0.26
69.0,-4.7e-05,-0.24
70.0,-4.68e-05,-0.12
71.0,-4.66e-05,-0.1
72.0,-4.64e-05,0.02
73.0,-4.62e-05,0.04
74.0,-4.6e-05,0.2
75.0,-4.58e-05,0.24
76.0,-4.56e-05,0.36
77.0,-4.54e-05,0.38
78.0,-4.52e-05,0.52
79.0,-4.5e-05,0.52
80.0,-4.48e-05,0.66
81.0,-4.46e-05,0.68
82.0,-4.44e-05,0.78
83.0,-4.42e-05,0.78
84.0,-4.4e-05,0.86
85.0,-4.38e-05,0.88
86.0,-4.36e-05,0.94
87.0,-4.34e-05,0.92
88.0,-4.32e-05,0.96
89.0,-4.3e-05,0.96
90.0,-4.28e-05,0.92
91.0,-4.26e-05,0.92
92.0,-4.24e-05,0.88
93.0,-4.22e-05,0.88
94.0,-4.2e-05,0.78
95.0,-4.18e-05,0.76
96.0,-4.16e-05,0.62
97.0,-4.14e-05,0.62
98.0,-4.12e-05,0.46
99.0,-4.1e-05,0.46
100.0,-4.08e-05,0.26
101.0,-4.06e-05,0.26
102.0,-4.04e-05,0.04
103.0,-4.02e-05,0.02
104.0,-4e-05,-0.16
105.0,-3.98e-05,-0.18
106.0,-3.96e-05,-0.32
107.0,-3.94e-05,-0.32
108.0,-3.92e-05,-0.4
109.0,-3.9e-05,-0.4
110.0,-3.88e-05,-0.44
111.0,-3.86e-05,-0.42
112.0,-3.84e-05,-0.46
113.0,-3.82e-05,-0.44
114.0,-3.8e-05,-0.46
115.0,-3.78e-05,-0.48
116.0,-3.76e-05,-0.44
117.0,-3.74e-05,-0.48
118.0,-3.72e-05,-0.44
119.0,-3.7e-05,-0.46
120.0,-3.68e-05,-0.48
121.0,-3.66e-05,-0.46
122.0,-3.64e-05,-0.48
123.0,-3.62e-05,-0.48
124.0,-3.6e-05,-0.46
125.0,-3.58e-05,-0.46
126.0,-3.56e-05,-0.48
127.0,-3.54e-05,-0.48
128.0,-3.52e-05,-0.44
129.0,-3.5e-05,-0.46
130.0,-3.48e-05,-0.48
131.0,-3.46e-05,-0.44
132.0,-3.44e-05,-0.48
133.0,-3.42e-05,-0.46
134.0,-3.4e-05,-0.46
135.0,-3.38e-05,-0.46
136.0,-3.36e-05,-0.44
137.0,-3.34e-05,-0.44
138.0,-3.32e-05,-0.42
139.0,-3.3e-05,-0.44
140.0,-3.28e-05,-0.42
141.0,-3.26e-05,-0.42
142.0,-3.24e-05,-0.38
143.0,-3.22e-05,-0.38
144.0,-3.2e-05,-0.32
145.0,-3.18e-05,-0.3
146.0,-3.16e-05,-0.18
147.0,-3.14e-05,-0.18
148.0,-3.12e-05,-0.02
149.0,-3.1e-05,-0.02
150.0,-3.08e-05,0.12
151.0,-3.06e-05,0.14
152.0,-3.04e-05,0.3
153.0,-3.02e-05,0.3
154.0,-3e-05,0.44
155.0,-2.98e-05,0.46
156.0,-2.96e-05,0.6
157.0,-2.94e-05,0.62
158.0,-2.92e-05,0.74
159.0,-2.9e-05,0.76
160.0,-2.88e-05,0.84
161.0,-2.86e-05,0.84
162.0,-2.84e-05,0.92
163.0,-2.82e-05,0.92
164.0,-2.8e-05,0.94
165.0,-2.78e-05,0.94
166.0,-2.76e-05,0.96
167.0,-2.74e-05,0.94
168.0,-2.72e-05,0.9
