"Rigol Technologies,Inc. -[Data]",,
,,
,,
,,
CH1 1.00V  5.000us 50.00MSa  Size=600  [Date:9/9/2015],,
,,
,,
NO.,Time,Voltage
,,
1,-3.02E-05,-7.20E-01
2,-3.01E-05,-6.80E-01
3,-3.00E-05,-7.20E-01
4,-2.99E-05,-7.60E-01
5,-2.98E-05,-6.80E-01
6,-2.97E-05,-7.60E-01
7,-2.96E-05,-7.20E-01
8,-2.95E-05,-7.60E-01
9,-2.94E-05,-7.20E-01
10,-2.93E-05,-6.80E-01
11,-2.92E-05,-7.20E-01
12,-2.91E-05,-7.20E-01
13,-2.90E-05,-7.20E-01
14,-2.89E-05,-6.80E-01
15,-2.88E-05,-7.20E-01
16,-2.87E-05,-7.20E-01
17,-2.86E-05,-7.20E-01
18,-2.85E-05,-7.20E-01
19,-2.84E-05,-7.20E-01
20,-2.83E-05,-7.20E-01
21,-2.82E-05,-7.20E-01
22,-2.81E-05,-7.60E-01
23,-2.80E-05,-7.20E-01
24,-2.79E-05,-6.80E-01
25,-2.78E-05,-7.20E-01
26,-2.77E-05,-7.20E-01
27,-2.76E-05,-7.20E-01
28,-2.75E-05,-7.20E-01
29,-2.74E-05,-7.20E-01
30,-2.73E-05,-6.80E-01
31,-2.72E-05,-7.20E-01
32,-2.71E-05,-6.80E-01
33,-2.70E-05,-6.80E-01
34,-2.69E-05,-7.20E-01
35,-2.68E-05,-7.20E-01
36,-2.67E-05,-6.80E-01
37,-2.66E-05,-7.20E-01
38,-2.65E-05,-6.80E-01
39,-2.64E-05,-6.80E-01
40,-2.63E-05,-7.20E-01
41,-2.62E-05,-7.20E-01
42,-2.61E-05,-6.80E-01
43,-2.60E-05,-6.80E-01
44,-2.59E-05,-7.20E-01
45,-2.58E-05,-6.80E-01
46,-2.57E-05,-7.20E-01
47,-2.56E-05,-6.80E-01
48,-2.55E-05,-7.20E-01
49,-2.54E-05,-6.80E-01
50,-2.53E-05,-6.80E-01
51,-2.52E-05,-6.80E-01
52,-2.51E-05,-6.40E-01
53,-2.50E-05,-6.80E-01
54,-2.49E-05,-6.40E-01
55,-2.48E-05,-6.40E-01
56,-2.47E-05,-6.80E-01
57,-2.46E-05,-6.80E-01
58,-2.45E-05,-6.40E-01
59,-2.44E-05,-6.40E-01
60,-2.43E-05,-6.80E-01
61,-2.42E-05,-6.40E-01
62,-2.41E-05,-6.80E-01
63,-2.40E-05,-6.00E-01
64,-2.39E-05,-6.80E-01
65,-2.38E-05,-6.00E-01
66,-2.37E-05,-6.80E-01
67,-2.36E-05,-6.00E-01
68,-2.35E-05,-6.00E-01
69,-2.34E-05,-6.00E-01
70,-2.33E-05,-5.60E-01
71,-2.32E-05,-5.60E-01
72,-2.31E-05,-4.80E-01
73,-2.30E-05,-4.80E-01
74,-2.29E-05,-2.80E-01
75,-2.28E-05,-2.80E-01
76,-2.27E-05,-8.00E-02
77,-2.26E-05,0.00E+00
78,-2.25E-05,3.20E-01
79,-2.24E-05,2.80E-01
80,-2.23E-05,6.00E-01
81,-2.22E-05,6.00E-01
82,-2.21E-05,9.20E-01
83,-2.20E-05,9.60E-01
84,-2.19E-05,1.28E+00
85,-2.18E-05,1.28E+00
86,-2.17E-05,1.60E+00
87,-2.16E-05,1.64E+00
88,-2.15E-05,1.92E+00
89,-2.14E-05,2.00E+00
90,-2.13E-05,2.28E+00
91,-2.12E-05,2.32E+00
92,-2.11E-05,2.60E+00
93,-2.10E-05,2.64E+00
94,-2.09E-05,2.88E+00
95,-2.08E-05,2.88E+00
96,-2.07E-05,3.08E+00
97,-2.06E-05,3.08E+00
98,-2.05E-05,3.32E+00
99,-2.04E-05,3.32E+00
100,-2.03E-05,3.48E+00
101,-2.02E-05,3.52E+00
102,-2.01E-05,3.60E+00
103,-2.00E-05,3.60E+00
104,-1.99E-05,3.72E+00
105,-1.98E-05,3.68E+00
106,-1.97E-05,3.72E+00
107,-1.96E-05,3.72E+00
108,-1.95E-05,3.72E+00
109,-1.94E-05,3.72E+00
110,-1.93E-05,3.64E+00
111,-1.92E-05,3.64E+00
112,-1.91E-05,3.56E+00
113,-1.90E-05,3.52E+00
114,-1.89E-05,3.40E+00
115,-1.88E-05,3.36E+00
116,-1.87E-05,3.20E+00
117,-1.86E-05,3.16E+00
118,-1.85E-05,2.92E+00
119,-1.84E-05,2.88E+00
120,-1.83E-05,2.60E+00
121,-1.82E-05,2.56E+00
122,-1.81E-05,2.24E+00
123,-1.80E-05,2.24E+00
124,-1.79E-05,1.88E+00
125,-1.78E-05,1.80E+00
126,-1.77E-05,1.44E+00
127,-1.76E-05,1.44E+00
128,-1.75E-05,1.04E+00
129,-1.74E-05,1.00E+00
130,-1.73E-05,6.00E-01
131,-1.72E-05,5.20E-01
132,-1.71E-05,1.60E-01
133,-1.70E-05,1.20E-01
134,-1.69E-05,-1.60E-01
135,-1.68E-05,-2.00E-01
136,-1.67E-05,-3.60E-01
137,-1.66E-05,-3.60E-01
138,-1.65E-05,-4.80E-01
139,-1.64E-05,-4.80E-01
140,-1.63E-05,-5.60E-01
141,-1.62E-05,-5.60E-01
142,-1.61E-05,-6.40E-01
143,-1.60E-05,-6.00E-01
144,-1.59E-05,-6.80E-01
145,-1.58E-05,-6.80E-01
146,-1.57E-05,-6.80E-01
147,-1.56E-05,-6.80E-01
148,-1.55E-05,-7.20E-01
149,-1.54E-05,-6.80E-01
150,-1.53E-05,-7.20E-01
151,-1.52E-05,-7.20E-01
152,-1.51E-05,-7.20E-01
153,-1.50E-05,-6.80E-01
154,-1.49E-05,-7.20E-01
155,-1.48E-05,-7.20E-01
156,-1.47E-05,-7.60E-01
157,-1.46E-05,-7.60E-01
158,-1.45E-05,-7.20E-01
159,-1.44E-05,-7.20E-01
160,-1.43E-05,-8.00E-01
161,-1.42E-05,-7.20E-01
162,-1.41E-05,-7.20E-01
163,-1.40E-05,-7.20E-01
164,-1.39E-05,-7.20E-01
165,-1.38E-05,-6.80E-01
166,-1.37E-05,-7.60E-01
167,-1.36E-05,-7.20E-01
168,-1.35E-05,-7.60E-01
169,-1.34E-05,-7.20E-01
170,-1.33E-05,-7.60E-01
171,-1.32E-05,-7.60E-01
172,-1.31E-05,-6.80E-01
173,-1.30E-05,-8.00E-01
174,-1.29E-05,-7.20E-01
175,-1.28E-05,-7.20E-01
176,-1.27E-05,-7.60E-01
177,-1.26E-05,-7.20E-01
178,-1.25E-05,-7.60E-01
179,-1.24E-05,-7.20E-01
180,-1.23E-05,-7.60E-01
181,-1.22E-05,-6.80E-01
182,-1.21E-05,-7.60E-01
183,-1.20E-05,-7.60E-01
184,-1.19E-05,-7.20E-01
185,-1.18E-05,-7.60E-01
186,-1.17E-05,-7.20E-01
187,-1.16E-05,-7.20E-01
188,-1.15E-05,-8.00E-01
189,-1.14E-05,-7.20E-01
190,-1.13E-05,-8.00E-01
191,-1.12E-05,-7.20E-01
192,-1.11E-05,-7.60E-01
193,-1.10E-05,-7.20E-01
194,-1.09E-05,-7.60E-01
195,-1.08E-05,-7.60E-01
196,-1.07E-05,-7.20E-01
197,-1.06E-05,-7.20E-01
198,-1.05E-05,-7.60E-01
199,-1.04E-05,-7.60E-01
200,-1.03E-05,-7.20E-01
201,-1.02E-05,-7.20E-01
202,-1.01E-05,-7.60E-01
203,-1.00E-05,-7.20E-01
204,-9.90E-06,-7.60E-01
205,-9.80E-06,-7.60E-01
206,-9.70E-06,-7.20E-01
207,-9.60E-06,-7.60E-01
208,-9.50E-06,-7.20E-01
209,-9.40E-06,-7.20E-01
210,-9.30E-06,-8.00E-01
211,-9.20E-06,-7.60E-01
212,-9.10E-06,-7.20E-01
213,-9.00E-06,-7.20E-01
214,-8.90E-06,-8.00E-01
215,-8.80E-06,-7.20E-01
216,-8.70E-06,-8.00E-01
217,-8.60E-06,-7.60E-01
218,-8.50E-06,-7.20E-01
219,-8.40E-06,-7.20E-01
220,-8.30E-06,-7.60E-01
221,-8.20E-06,-8.00E-01
222,-8.10E-06,-7.20E-01
223,-8.00E-06,-7.60E-01
224,-7.90E-06,-7.20E-01
225,-7.80E-06,-7.20E-01
226,-7.70E-06,-7.20E-01
227,-7.60E-06,-7.20E-01
228,-7.50E-06,-7.60E-01
229,-7.40E-06,-7.20E-01
230,-7.30E-06,-7.60E-01
231,-7.20E-06,-7.20E-01
232,-7.10E-06,-7.60E-01
233,-7.00E-06,-7.20E-01
234,-6.90E-06,-7.60E-01
