NO.,Time,Voltage
1.0,-3e-05,0.64
2.0,-2.99e-05,0.82
3.0,-2.98e-05,0.82
4.0,-2.97e-05,0.98
5.0,-2.96e-05,1.0
6.0,-2.95e-05,1.16
7.0,-2.94e-05,1.18
8.0,-2.93e-05,1.34
9.0,-2.92e-05,1.38
10.0,-2.91e-05,1.54
11.0,-2.9e-05,1.56
12.0,-2.89e-05,1.7
13.0,-2.88e-05,1.72
14.0,-2.87e-05,1.88
15.0,-2.86e-05,1.88
16.0,-2.85e-05,2.02
17.0,-2.84e-05,2.02
18.0,-2.83e-05,2.16
19.0,-2.82e-05,2.18
20.0,-2.81e-05,2.28
21.0,-2.8e-05,2.28
22.0,-2.79e-05,2.38
23.0,-2.78e-05,2.4
24.0,-2.77e-05,2.5
25.0,-2.76e-05,2.5
26.0,-2.75e-05,2.58
27.0,-2.74e-05,2.58
28.0,-2.73e-05,2.64
29.0,-2.72e-05,2.64
30.0,-2.71e-05,2.66
31.0,-2.7e-05,2.66
32.0,-2.69e-05,2.66
33.0,-2.68e-05,2.66
34.0,-2.67e-05,2.64
35.0,-2.66e-05,2.64
36.0,-2.65e-05,2.6
37.0,-2.64e-05,2.6
38.0,-2.63e-05,2.52
39.0,-2.62e-05,2.52
40.0,-2.61e-05,2.42
41.0,-2.6e-05,2.42
42.0,-2.59e-05,2.32
43.0,-2.58e-05,2.3
44.0,-2.57e-05,2.16
45.0,-2.56e-05,2.16
46.0,-2.55e-05,2.0
47.0,-2.54e-05,2.0
48.0,-2.53e-05,1.84
49.0,-2.52e-05,1.82
50.0,-2.51e-05,1.64
51.0,-2.5e-05,1.6
52.0,-2.49e-05,1.4
53.0,-2.48e-05,1.38
54.0,-2.47e-05,1.14
55.0,-2.46e-05,1.1
56.0,-2.45e-05,0.86
57.0,-2.44e-05,0.86
58.0,-2.43e-05,0.6
59.0,-2.42e-05,0.58
60.0,-2.41e-05,0.3
61.0,-2.4e-05,0.28
62.0,-2.39e-05,0.02
63.0,-2.38e-05,0.02
64.0,-2.37e-05,-0.14
65.0,-2.36e-05,-0.18
66.0,-2.35e-05,-0.3
67.0,-2.34e-05,-0.28
68.0,-2.33e-05,-0.34
69.0,-2.32e-05,-0.36
70.0,-2.31e-05,-0.4
71.0,-2.3e-05,-0.4
72.0,-2.29e-05,-0.44
73.0,-2.28e-05,-0.46
74.0,-2.27e-05,-0.44
75.0,-2.26e-05,-0.46
76.0,-2.25e-05,-0.48
77.0,-2.24e-05,-0.48
78.0,-2.23e-05,-0.5
79.0,-2.22e-05,-0.5
80.0,-2.21e-05,-0.48
81.0,-2.2e-05,-0.48
82.0,-2.19e-05,-0.52
83.0,-2.18e-05,-0.5
84.0,-2.17e-05,-0.52
85.0,-2.16e-05,-0.5
86.0,-2.15e-05,-0.52
87.0,-2.14e-05,-0.5
88.0,-2.13e-05,-0.52
89.0,-2.12e-05,-0.52
90.0,-2.11e-05,-0.5
91.0,-2.1e-05,-0.52
92.0,-2.09e-05,-0.5
93.0,-2.08e-05,-0.52
94.0,-2.07e-05,-0.5
95.0,-2.06e-05,-0.54
96.0,-2.05e-05,-0.5
97.0,-2.04e-05,-0.52
98.0,-2.03e-05,-0.54
99.0,-2.02e-05,-0.54
100.0,-2.01e-05,-0.5
101.0,-2e-05,-0.5
102.0,-1.99e-05,-0.54
103.0,-1.98e-05,-0.54
104.0,-1.97e-05,-0.52
105.0,-1.96e-05,-0.54
106.0,-1.95e-05,-0.52
107.0,-1.94e-05,-0.52
108.0,-1.93e-05,-0.54
109.0,-1.92e-05,-0.54
110.0,-1.91e-05,-0.52
111.0,-1.9e-05,-0.52
112.0,-1.89e-05,-0.54
113.0,-1.88e-05,-0.54
114.0,-1.87e-05,-0.52
115.0,-1.86e-05,-0.52
116.0,-1.85e-05,-0.56
117.0,-1.84e-05,-0.54
118.0,-1.83e-05,-0.52
119.0,-1.82e-05,-0.54
120.0,-1.81e-05,-0.52
121.0,-1.8e-05,-0.54
122.0,-1.79e-05,-0.52
123.0,-1.78e-05,-0.54
124.0,-1.77e-05,-0.52
125.0,-1.76e-05,-0.52
126.0,-1.75e-05,-0.54
127.0,-1.74e-05,-0.54
128.0,-1.73e-05,-0.54
129.0,-1.72e-05,-0.54
130.0,-1.71e-05,-0.52
131.0,-1.7e-05,-0.52
132.0,-1.69e-05,-0.54
133.0,-1.68e-05,-0.54
134.0,-1.67e-05,-0.52
135.0,-1.66e-05,-0.54
136.0,-1.65e-05,-0.5
137.0,-1.64e-05,-0.54
138.0,-1.63e-05,-0.52
139.0,-1.62e-05,-0.52
140.0,-1.61e-05,-0.54
141.0,-1.6e-05,-0.52
142.0,-1.59e-05,-0.54
143.0,-1.58e-05,-0.54
144.0,-1.57e-05,-0.52
145.0,-1.56e-05,-0.52
146.0,-1.55e-05,-0.5
147.0,-1.54e-05,-0.52
148.0,-1.53e-05,-0.5
149.0,-1.52e-05,-0.5
150.0,-1.51e-05,-0.54
151.0,-1.5e-05,-0.5
152.0,-1.49e-05,-0.52
153.0,-1.48e-05,-0.52
154.0,-1.47e-05,-0.5
155.0,-1.46e-05,-0.52
156.0,-1.45e-05,-0.52
157.0,-1.44e-05,-0.52
158.0,-1.43e-05,-0.5
159.0,-1.42e-05,-0.52
160.0,-1.41e-05,-0.5
161.0,-1.4e-05,-0.52
162.0,-1.39e-05,-0.5
163.0,-1.38e-05,-0.52
164.0,-1.37e-05,-0.5
165.0,-1.36e-05,-0.5
166.0,-1.35e-05,-0.52
167.0,-1.34e-05,-0.5
168.0,-1.33e-05,-0.52
169.0,-1.32e-05,-0.5
170.0,-1.31e-05,-0.5
171.0,-1.3e-05,-0.5
172.0,-1.29e-05,-0.48
173.0,-1.28e-05,-0.5
174.0,-1.27e-05,-0.48
175.0,-1.26e-05,-0.5
176.0,-1.25e-05,-0.48
177.0,-1.24e-05,-0.5
178.0,-1.23e-05,-0.48
179.0,-1.22e-05,-0.48
180.0,-1.21e-05,-0.5
181.0,-1.2e-05,-0.48
182.0,-1.19e-05,-0.46
183.0,-1.18e-05,-0.48
184.0,-1.17e-05,-0.48
185.0,-1.16e-05,-0.48
186.0,-1.15e-05,-0.48
187.0,-1.14e-05,-0.48
188.0,-1.13e-05,-0.46
189.0,-1.12e-05,-0.46
190.0,-1.11e-05,-0.48
191.0,-1.1e-05,-0.46
192.0,-1.09e-05,-0.44
193.0,-1.08e-05,-0.44
194.0,-1.07e-05,-0.46
195.0,-1.06e-05,-0.46
196.0,-1.05e-05,-0.44
197.0,-1.04e-05,-0.44
198.0,-1.03e-05,-0.46
199.0,-1.02e-05,-0.44
200.0,-1.01e-05,-0.46
201.0,-1e-05,-0.46
202.0,-9.9e-06,-0.44
203.0,-9.8e-06,-0.44
204.0,-9.7e-06,-0.44
205.0,-9.6e-06,-0.44
206.0,-9.5e-06,-0.44
207.0,-9.4e-06,-0.44
208.0,-9.3e-06,-0.4
209.0,-9.2e-06,-0.42
210.0,-9.1e-06,-0.38
211.0,-9e-06,-0.4
212.0,-8.9e-06,-0.38
213.0,-8.8e-06,-0.38
214.0,-8.7e-06,-0.4
215.0,-8.6e-06,-0.4
216.0,-8.5e-06,-0.38
217.0,-8.4e-06,-0.38
218.0,-8.3e-06,-0.4
219.0,-8.2e-06,-0.38
220.0,-8.1e-06,-0.36
221.0,-8e-06,-0.38
222.0,-7.9e-06,-0.36
223.0,-7.8e-06,-0.38
224.0,-7.7e-06,-0.36
225.0,-7.6e-06,-0.38
226.0,-7.5e-06,-0.36
227.0,-7.4e-06,-0.36
228.0,-7.3e-06,-0.38
229.0,-7.2e-06,-0.38
230.0,-7.1e-06,-0.38
231.0,-7e-06,-0.38
232.0,-6.9e-06,-0.4
233.0,-6.8e-06,-0.4
234.0,-6.7e-06,-0.38
235.0,-6.6e-06,-0.4
236.0,-6.5e-06,-0.42
237.0,-6.4e-06,-0.4
238.0,-6.3e-06,-0.44
239.0,-6.2e-06,-0.4
240.0,-6.1e-06,-0.44
241.0,-6e-06,-0.4
242.0,-5.9e-06,-0.44
243.0,-5.8e-06,-0.44
244.0,-5.7e-06,-0.44
245.0,-5.6e-06,-0.44
246.0,-5.5e-06,-0.46
247.0,-5.4e-06,-0.44
248.0,-5.3e-06,-0.46
249.0,-5.2e-06,-0.44
250.0,-5.1e-06,-0.46
251.0,-5e-06,-0.44
252.0,-4.9e-06,-0.46
253.0,-4.8e-06,-0.44
254.0,-4.7e-06,-0.46
255.0,-4.6e-06,-0.44
256.0,-4.5e-06,-0.46
257.0,-4.4e-06,-0.46
258.0,-4.3e-06,-0.44
259.0,-4.2e-06,-0.44
260.0,-4.1e-06,-0.46
261.0,-4e-06,-0.46
262.0,-3.9e-06,-0.48
263.0,-3.8e-06,-0.46
264.0,-3.7e-06,-0.46
265.0,-3.6e-06,-0.46
266.0,-3.5e-06,-0.46
267.0,-3.4e-06,-0.46
268.0,-3.3e-06,-0.48
269.0,-3.2e-06,-0.46
270.0,-3.1e-06,-0.48
271.0,-3e-06,-0.46
272.0,-2.9e-06,-0.46
273.0,-2.8e-06,-0.46
274.0,-2.7e-06,-0.46
275.0,-2.6e-06,-0.46
276.0,-2.5e-06,-0.46
277.0,-2.4e-06,-0.46
278.0,-2.3e-06,-0.46
279.0,-2.2e-06,-0.46
280.0,-2.1e-06,-0.44
281.0,-2e-06,-0.44
282.0,-1.9e-06,-0.46
283.0,-1.8e-06,-0.44
284.0,-1.7e-06,-0.46
285.0,-1.6e-06,-0.44
286.0,-1.5e-06,-0.44
287.0,-1.4e-06,-0.44
288.0,-1.3e-06,-0.44
289.0,-1.2e-06,-0.44
290.0,-1.1e-06,-0.4
291.0,-1e-06,-0.38
292.0,-9e-07,-0.4
293.0,-8e-07,-0.36
294.0,-7e-07,-0.3
295.0,-6e-07,-0.3
296.0,-5e-07,-0.22
297.0,-4e-07,-0.22
298.0,-3e-07,-0.14
299.0,-2e-07,-0.12
300.0,-1e-07,0.0
301.0,0.0,0.02
302.0,1e-07,0.14
303.0,2e-07,0.18
304.0,3e-07,0.28
305.0,4e-07,0.3
306.0,5e-07,0.46
307.0,6e-07,0.46
308.0,7e-07,0.64
309.0,8e-07,0.64
310.0,9e-07,0.8
311.0,1e-06,0.82
312.0,1.1e-06,0.96
313.0,1.2e-06,0.98
314.0,1.3e-06,1.16
315.0,1.4e-06,1.16
316.0,1.5e-06,1.34
317.0,1.6e-06,1.36
318.0,1.7e-06,1.52
319.0,1.8e-06,1.54
320.0,1.9e-06,1.7
321.0,2e-06,1.72
322.0,2.1e-06,1.88
323.0,2.2e-06,1.88
324.0,2.3e-06,2.0
325.0,2.4e-06,2.02
326.0,2.5e-06,2.16
327.0,2.6e-06,2.16
328.0,2.7e-06,2.26
329.0,2.8e-06,2.28
330.0,2.9e-06,2.38
331.0,3e-06,2.4
332.0,3.1e-06,2.5
333.0,3.2e-06,2.5
334.0,3.3e-06,2.56
335.0,3.4e-06,2.58
336.0,3.5e-06,2.62
337.0,3.6e-06,2.62
338.0,3.7e-06,2.66
339.0,3.8e-06,2.66
340.0,3.9e-06,2.66
341.0,4e-06,2.66
342.0,4.1e-06,2.64
343.0,4.2e-06,2.64
344.0,4.3e-06,2.6
345.0,4.4e-06,2.58
346.0,4.5e-06,2.54
347.0,4.6e-06,2.52
348.0,4.7e-06,2.44
349.0,4.8e-06,2.42
350.0,4.9e-06,2.32
351.0,5e-06,2.3
352.0,5.1e-06,2.18
353.0,5.2e-06,2.16
354.0,5.3e-06,2.0
