NO.,Time,Voltage
1.0,-0.00003,-0.280000
2.0,-0.00003,0.000000
3.0,-0.00003,0.000000
4.0,-0.00003,0.280000
5.0,-0.00003,0.320000
6.0,-0.000029,0.640000
7.0,-0.000029,0.680000
8.0,-0.000029,1.080000
9.0,-0.000029,1.120000
10.0,-0.000029,1.480000
11.0,-0.000029,1.520000
12.0,-0.000029,1.840000
13.0,-0.000029,1.880000
14.0,-0.000029,2.200000
15.0,-0.000029,2.280000
16.0,-0.000029,2.600000
17.0,-0.000028,2.600000
18.0,-0.000028,2.960000
19.0,-0.000028,2.920000
20.0,-0.000028,3.240000
21.0,-0.000028,3.240000
22.0,-0.000028,3.480000
23.0,-0.000028,3.520000
24.0,-0.000028,3.720000
25.0,-0.000028,3.760000
26.0,-0.000028,3.880000
27.0,-0.000027,3.880000
28.0,-0.000027,4.040000
29.0,-0.000027,4.000000
30.0,-0.000027,4.080000
31.0,-0.000027,4.040000
32.0,-0.000027,4.080000
33.0,-0.000027,4.040000
34.0,-0.000027,4.080000
35.0,-0.000027,4.000000
36.0,-0.000027,3.880000
37.0,-0.000026,3.880000
38.0,-0.000026,3.720000
39.0,-0.000026,3.720000
40.0,-0.000026,3.520000
41.0,-0.000026,3.480000
42.0,-0.000026,3.200000
43.0,-0.000026,3.160000
44.0,-0.000026,2.840000
45.0,-0.000026,2.840000
46.0,-0.000025,2.440000
47.0,-0.000025,2.440000
48.0,-0.000025,2.080000
49.0,-0.000025,2.040000
50.0,-0.000025,1.560000
51.0,-0.000025,1.520000
52.0,-0.000025,1.040000
53.0,-0.000025,0.960000
54.0,-0.000025,0.440000
55.0,-0.000025,0.440000
56.0,-0.000024,0.040000
57.0,-0.000024,0.000000
58.0,-0.000024,-0.200000
59.0,-0.000024,-0.280000
60.0,-0.000024,-0.400000
61.0,-0.000024,-0.400000
62.0,-0.000024,-0.480000
63.0,-0.000024,-0.520000
64.0,-0.000024,-0.600000
65.0,-0.000024,-0.560000
66.0,-0.000023,-0.640000
67.0,-0.000023,-0.640000
68.0,-0.000023,-0.720000
69.0,-0.000023,-0.720000
70.0,-0.000023,-0.680000
71.0,-0.000023,-0.720000
72.0,-0.000023,-0.720000
73.0,-0.000023,-0.720000
74.0,-0.000023,-0.720000
75.0,-0.000023,-0.720000
76.0,-0.000023,-0.760000
77.0,-0.000022,-0.720000
78.0,-0.000022,-0.760000
79.0,-0.000022,-0.720000
80.0,-0.000022,-0.720000
81.0,-0.000022,-0.720000
82.0,-0.000022,-0.760000
83.0,-0.000022,-0.720000
84.0,-0.000022,-0.760000
85.0,-0.000022,-0.760000
86.0,-0.000022,-0.720000
87.0,-0.000021,-0.720000
88.0,-0.000021,-0.760000
89.0,-0.000021,-0.760000
